"DATE_TIME","AIRTEMP","RH_AVG","DEWPT","WS","GHI","DNI","DIFF","POA"
"2023-07-26 12:50:00",29.81,52.88,19.18,1.31,927.1,772.5,207.9,934
"2023-07-26 13:00:00",30.21,52.62,19.47,0.565,931.8,763.9,219.5,939
"2023-07-26 13:10:00",30.03,51.66,19.01,1.321,955.6,757.2,249.4,971
"2023-07-26 13:20:00",30.54,49.77,18.87,1.042,832.9,594.3,279.4,1026
"2023-07-26 13:30:00",30.66,49.87,19.02,1.075,982.6,753.7,282.6,1002
"2023-07-26 13:40:00",30.81,49.81,19.14,1.645,981.6,761.3,277.6,1009
"2023-07-26 13:50:00",30.56,49.32,18.75,1.748,967.2,754.2,273.8,1011
"2023-07-26 14:00:00",30.31,50.65,18.95,1.657,994.3,744.3,315,835
"2023-07-26 14:10:00",30.19,50.33,18.74,1.615,886,657.7,290.9,990
"2023-07-26 14:20:00",30.42,48.56,18.38,0.944,969.4,746.7,300.8,1000
"2023-07-26 14:30:00",30.95,49.08,19.03,1.476,936.4,743,278.9,995
"2023-07-26 14:40:00",30.44,48.44,18.35,1.882,925.4,723.1,294.1,985
"2023-07-26 14:50:00",30.74,48.23,18.56,1.307,775.8,520.3,328.3,313
"2023-07-26 15:00:00",30.71,49.13,18.84,1.687,875.9,708.3,277,946
"2023-07-26 15:10:00",30.79,47.79,18.46,1.592,870.3,712.8,278.6,942
"2023-07-26 15:20:00",30.87,47.82,18.55,1.01,838.5,699.3,269.8,928
"2023-07-26 15:30:00",30.94,47.37,18.45,1.511,836.6,685.9,290.9,884
"2023-07-26 15:40:00",30.87,48.17,18.67,1.472,787.5,658,276.5,880
"2023-07-26 15:50:00",31.05,48.47,18.92,1.486,825,649.9,333.2,889
"2023-07-26 16:00:00",31.34,47.71,18.94,1.453,229.5,35.5,203.4,803
"2023-07-26 16:10:00",31.1,48.51,18.98,1.291,741.8,665,267.3,833
"2023-07-26 16:20:00",31.12,48.01,18.83,1.035,725.8,613.7,302,773.5
"2023-07-26 16:30:00",31.01,47.84,18.68,2.143,789.4,626.3,371.9,778.5
"2023-07-26 16:40:00",30.91,48.06,18.66,1.303,617.4,590.2,238.5,709.5
"2023-07-26 16:50:00",31.05,47.52,18.61,0.896,589.3,583.6,229.6,681.8
"2023-07-26 17:00:00",31.47,46.82,18.75,0.807,582.7,580.4,240.2,692
"2023-07-26 17:10:00",31.57,46.33,18.68,0.7,552.8,571.5,231,653.4
"2023-07-26 17:20:00",31.49,47.02,18.85,1.242,546.9,566,243.9,481.5
"2023-07-26 17:30:00",31.16,48.05,18.89,1.267,221.6,48.3,197.1,296.8
"2023-07-26 17:40:00",30.77,49.13,18.89,1.252,135.7,0,135.7,145.3
"2023-07-26 17:50:00",30.43,49.68,18.75,1.186,493.4,477.4,279.1,464.9
"2023-07-26 18:00:00",30.8,48.87,18.82,1.494,378.4,472.9,180.2,420.1
"2023-07-26 18:10:00",30.88,48.36,18.74,1.774,328.3,450.6,153,398.5
"2023-07-26 18:20:00",30.9,48.24,18.71,1.43,299.3,419.3,149,360.9
"2023-07-26 18:30:00",31.03,48.26,18.83,1.418,247.5,375.1,124.6,297
"2023-07-26 18:40:00",30.89,48.71,18.86,2.1,226,370.2,116.2,120.2
"2023-07-26 18:50:00",30.65,48.91,18.71,1.627,175.3,288,98.8,93.5
"2023-07-26 19:00:00",30.4,50.57,19.02,0.864,65.2,0,65.2,68.25
"2023-07-26 19:10:00",30.17,51.21,19.01,1.064,57.7,0,57.7,54.83
"2023-07-26 19:20:00",29.82,52.21,18.99,0.677,46.1,0,46.1,46
"2023-07-26 19:30:00",29.55,52.69,18.89,0.78,45,0,45,46
"2023-07-26 19:40:00",29.3,53.41,18.88,0.832,37,0,37,38.75
"2023-07-26 19:50:00",29.14,54.03,18.91,0.758,27.5,0,27.5,29.67
"2023-07-26 20:00:00",29.11,54.52,19.02,0.286,13.2,0,13.2,13.25
"2023-07-26 20:10:00",29,54.4,18.89,0.841,6,0,6,6
"2023-07-26 20:20:00",28.74,55.12,18.87,0.759,2,0,2,3
"2023-07-26 20:30:00",28.56,55.64,18.84,0.696,0,0,0,1
"2023-07-26 20:40:00",28.34,56.31,18.83,0.638,0,0,0,0
"2023-07-26 20:50:00",28.13,57.28,18.91,0.898,0,0,0,0
"2023-07-26 21:00:00",28.06,59.05,19.34,1.649,0,0,0,0
"2023-07-26 21:10:00",27.68,60.8,19.44,0.612,0,0,0,0
"2023-07-26 21:20:00",27.36,62.11,19.49,1.454,0,0,0,0
"2023-07-26 21:30:00",27.07,62.9,19.41,0.105,0,0,0,0
"2023-07-26 21:40:00",26.81,62.51,19.07,1.552,0,0,0,0
"2023-07-26 21:50:00",26.6,62.11,18.78,1.992,0,0,0,0
"2023-07-26 22:00:00",26.4,62.12,18.58,2.662,0,0,0,0
"2023-07-26 22:10:00",26.15,62.3,18.4,2.158,0,0,0,0
"2023-07-26 22:20:00",25.88,62.53,18.2,2.166,0,0,0,0
"2023-07-26 22:30:00",25.62,63.42,18.18,2.61,0,0,0,0
"2023-07-26 22:40:00",25.38,64.86,18.31,2.217,0,0,0,0
"2023-07-26 22:50:00",25.16,66.09,18.4,1.906,0,0,0,0
"2023-07-26 23:00:00",24.97,67.79,18.62,2.053,0,0,0,0
"2023-07-26 23:10:00",24.71,69.46,18.77,2.012,0,0,0,0
"2023-07-26 23:20:00",24.52,71.35,19.02,1.463,0,0,0,0
"2023-07-26 23:30:00",24.37,72.79,19.19,1.716,0,0,0,0
"2023-07-26 23:40:00",24.21,73.66,19.23,1.784,0,0,0,0
"2023-07-26 23:50:00",24.09,74.25,19.24,1.928,0,0,0,0
"2023-07-27 00:00:00",23.95,74.66,19.2,1.298,0,0,0,0
"2023-07-27 00:10:00",23.8,75.65,19.26,1.324,0,0,0,0
